date,text
2016-06-02,校党委中心组开展“两学一做”学习教育第一专题学习讨论
2016-06-01,全校各级党组织积极部署开展“两学一做”学习教育
2016-06-01,我校召开积极推进部校共建工作上水平座谈会
2016-06-01,我校召开“互联网+”大学生创新创业大赛推动会
2016-06-01,我校召开留学生公寓项目方案设计预征集会
2016-06-01,“促进教育均衡发展，天津师范大学服务基础教育项目”结项评审验收会举行
2016-05-30,我校召开国有资产清查工作动员部署会
2016-05-30,天津师范大学第六届教职工代表大会暨第十次工会会员代表大会胜利闭幕
2016-05-30,我校在“2015年度复印报刊资料转载指数排名”中喜获佳绩
2016-05-30,我校召开教学核心区域景观绿化提升项目方案设计预征集会
2016-05-30,陈小明院士来我校讲学
2016-05-30,双周音乐会迎来天狮合唱团成立15周年纪念专场
2016-05-27,我校在天津市5.25学生心理健康月中取得优异成绩
2016-05-26,天津师范大学第六届教职工代表大会暨第十次工会会员代表大会开幕
2016-05-26,天津师范大学第六届教职工代表大会暨第十次工会会员代表大会召开预备会议
2016-05-26,我校获批2016年天津市专业技术人员继续教育国家级高级研修项目
2016-05-25,高玉葆校长出席全国政协双周协商座谈会
2016-05-25,“海外华文媒体与天津新闻界合作交流圆桌会”在我校举行
2016-05-25,天津市2016年“三支一扶”招募考试在我校举行
2016-05-25,心理学博士后流动站李卉博士获2016年度“博士后国际交流计划派出项目”资助
2016-05-23,校党委中心组（扩大）集体学习《中国共产党纪律处分条例》
2016-07-27,全国大学生桥牌锦标赛我校获佳绩
2016-07-20,我校与美国哥伦比亚大学、北京师范大学、河南大学、人教社等达成组建联合研究团队意向
2016-07-19,我校在津、冀两省市本科一批次录取工作圆满结束
2016-07-15,澳大利亚阿德莱德大学化工学院纳米技术首席教授乔世璋受聘为我校客座教授并做客我校“学术前...
2016-07-15,我校承办“河西区教育系统党政领导干部领导力提升与教育管理创新培训班”开班
2016-07-14,校党委中心组开展“两学一做”学习教育第二专题学习讨论
2016-07-14,我校2016年学生工作队伍专项培训圆满结束
2016-07-13,红桥区2016年处级领导干部进修班在我校开展培训
2016-07-13,杨恩翠教授荣获第十三届天津青年科技奖
2016-07-08,我校与贵州省铜仁市签署合作框架协议
2016-07-07,学校传达落实天津市高等院校党的建设工作座谈会精神
